Source,Target
Sam Worthington,Sigourney Weaver
Sam Worthington,Michelle Rodriguez
Sam Worthington,Liam Neeson
Sam Worthington,Ralph Fiennes
Sam Worthington,Jason Flemyng
Sam Worthington,Elizabeth Banks
Sam Worthington,Jamie Bell
Sam Worthington,Mandy Gonzalez
Sam Worthington,Anton Yelchin
Sam Worthington,Moon Bloodgood
Sam Worthington,Liam Neeson
Sam Worthington,Rosamund Pike
Sam Worthington,Ralph Fiennes
Sigourney Weaver,Michelle Rodriguez
Michelle Rodriguez,Jordana Brewster
Michelle Rodriguez,Aryana Engineer
Kurt Russell,Jennifer Jason Leigh
Kurt Russell,Walton Goggins
Kurt Russell,Zo�� Bell
Kurt Russell,Rosario Dawson
Kurt Russell,Vanessa Ferlito
Kurt Russell,Patrick Wilson
Kurt Russell,Matthew Fox
Kurt Russell,Richard Jenkins
Kurt Russell,Rose McGowan
Kurt Russell,Danny Trejo
Kurt Russell,Zo�� Bell
Jennifer Jason Leigh,Walton Goggins
Jake Gyllenhaal,Viola Davis
Jake Gyllenhaal,Melissa Leo
Jake Gyllenhaal,Rene Russo
Jake Gyllenhaal,Bill Paxton
Jake Gyllenhaal,Riz Ahmed
Jake Gyllenhaal,Robert Downey Jr.
Jake Gyllenhaal,Mark Ruffalo
Jake Gyllenhaal,Anthony Edwards
Jake Gyllenhaal,Rachel McAdams
Jake Gyllenhaal,Oona Laurence
Jake Gyllenhaal,Forest Whitaker
Jake Gyllenhaal,Naomi Watts
Jake Gyllenhaal,Chris Cooper
Jake Gyllenhaal,Judah Lewis
Jake Gyllenhaal,M̩lanie Laurent
Jake Gyllenhaal,Sarah Gadon
Jake Gyllenhaal,Isabella Rossellini
Jake Gyllenhaal,Anne Hathaway
Jake Gyllenhaal,Judy Greer
Jake Gyllenhaal,Oliver Platt
Jake Gyllenhaal,Michelle Monaghan
Jake Gyllenhaal,Vera Farmiga
Jake Gyllenhaal,Jeffrey Wright
Jake Gyllenhaal,Gemma Arterton
Jake Gyllenhaal,Ben Kingsley
Jake Gyllenhaal,Alfred Molina
Jake Gyllenhaal,Michael Pe̱a
Jake Gyllenhaal,Anna Kendrick
Jake Gyllenhaal,America Ferrera
Viola Davis,Melissa Leo
Viola Davis,Octavia Spencer
Viola Davis,Bryce Dallas Howard
Viola Davis,Wei Tang
Viola Davis,Leehom Wang
Viola Davis,Emma Thompson
Viola Davis,Alden Ehrenreich
Emma Stone,Viola Davis
Emma Stone,Octavia Spencer
Emma Stone,Bryce Dallas Howard
Emma Stone,Jamie Foxx
Emma Stone,Paul Giamatti
Emma Stone,Kat Dennings
Emma Stone,Woody Harrelson
Emma Stone,Abigail Breslin
Emma Stone,Rhys Ifans
Emma Stone,Irrfan Khan
Emma Stone,Stephen Merchant
Emma Stone,Richard Gere
Emma Stone,Liev Schreiber
Emma Stone,Amanda Bynes
Emma Stone,Penn Badgley
Emma Stone,Dan Byrd
Emma Stone,Giovanni Ribisi
Octavia Spencer,Bryce Dallas Howard
Mark Ruffalo,Chris Hemsworth
Mark Ruffalo,Ben Kingsley
Mark Ruffalo,Michael Keaton
Mark Ruffalo,Rachel McAdams
Mark Ruffalo,Liev Schreiber
Mark Ruffalo,Anthony Edwards
Mark Ruffalo,Woody Harrelson
Mark Ruffalo,Adam Levine
Mark Ruffalo,Hailee Steinfeld
Chris Hemsworth,Anthony Hopkins
Chris Hemsworth,Natalie Portman
Chris Hemsworth,Tom Hiddleston
Chris Hemsworth,Natalie Portman
Chris Hemsworth,Tom Hiddleston
Chris Hemsworth,Stellan Skarsg̴rd
Chris Hemsworth,Anna Hutchison
Chris Hemsworth,Fran Kranz
Chris Hemsworth,Viola Davis
Chris Hemsworth,Wei Tang
Chris Hemsworth,Leehom Wang
Chris Hemsworth,Olivia Wilde
Chris Hemsworth,Alexandra Maria Lara
Chris Hemsworth,Cillian Murphy
Chris Hemsworth,Brendan Gleeson
Chris Hemsworth,Ben Whishaw
Chris Hemsworth,Charlize Theron
Chris Hemsworth,Sam Claflin
Chris Hemsworth,Isabel Lucas
Chris Hemsworth,Josh Hutcherson
Chris Hemsworth,Josh Peck
Matt Damon,Jack Nicholson
Matt Damon,Mark Wahlberg
Matt Damon,Jessica Chastain
Matt Damon,Kristen Wiig
Matt Damon,Kate Mara
Matt Damon,Edgar Ram�_rez
Matt Damon,Joan Allen
Matt Damon,Julia Stiles
Matt Damon,Jodie Foster
Matt Damon,Sharlto Copley
Matt Damon,Alice Braga
Matt Damon,Emily Blunt
Matt Damon,Lisa Thoreson
Matt Damon,Florence Kastriner
Matt Damon,Hailee Steinfeld
Matt Damon,Josh Brolin
Matt Damon,Michael Mantell
Matt Damon,Kate Winslet
